name,category,impact,likelihood,financialEffect,timeHorizon
"Carbon Pricing Transition","Environment",5,5,"Increased TCO for assets","Short Term (0-3 years)"
"Stranded Asset Write-downs","Environment",5,4,"Devaluation of loans","Medium Term (3-10 years)"
"Renewable CapEx Sunk Costs","Environment",3,3,"Early retirement of equipment","Medium Term (3-10 years)"
"Physical: Acute Weather Events","Environment",5,4,"Loss of collaterals","Short Term (0-3 years)"
"Physical: Chronic Sea Level Rise","Environment",4,3,"Depreciation of branches","Long Term (10+ years)"
"Low-Carbon Tech Adoption","Governance",3,4,"Cost of retrofitting data centers","Medium Term (3-10 years)"
"Grid Decarbonization Pressures","Environment",4,3,"Shift to premium green-energy","Short Term (0-3 years)"
"Climate Regulatory Disclosures","Governance",4,5,"Increased compliance costs","Short Term (0-3 years)"
"Consumer Sentiment Shifts","Social",3,4,"Loss of high-CASA clients","Medium Term (3-10 years)"
"Supply Chain Climate Disruption","Environment",4,3,"Vendor failure operational pauses","Short Term (0-3 years)"
"Carbon Credit Market Volatility","Financial",3,3,"Hedging losses","Medium Term (3-10 years)"
"Climate Litigation (Greenwashing)","Governance",5,2,"Fines and settlement payments","Short Term (0-3 years)"
"Insurance Premium Spikes","Financial",4,5,"Doubling of operational insurance costs","Short Term (0-3 years)"
"Drought Impact on Ag-Loan Book","Environment",5,3,"Widespread defaults","Medium Term (3-10 years)"
"Transition: Talent Scarcity","Social",3,4,"Premium salaries for specialists","Short Term (0-3 years)"
"Upstream Emissions Penalties","Environment",4,4,"Fines from supply chain","Medium Term (3-10 years)"
"Shifting Energy Subsidies","Financial",5,3,"Loss of revenue in energy portfolios","Short Term (0-3 years)"
"Downstream Transportation Transition","Environment",3,5,"Diminished auto-loan book value","Medium Term (3-10 years)"
"Fossil Fuel Phasedown Policies","Governance",5,4,"Loss of market segments","Long Term (10+ years)"
"Flooding of Key Branch Vectors","Environment",4,2,"Destruction of physical records","Short Term (0-3 years)"
